id,created,updated,assetId,durationSeconds,aspectRatio,maxResolution,playbackId,streamUrl,posterUrl,references,sourceTypes,sourceDocs
46a8fc6a-aad1-4bba-b8ef-bd3aea8b9628,2026-02-19T15:14:57Z,2026-02-24T15:45:18Z,TkFnYTfBeIGWfubKo02LqqhJ6l1CCmGM7XQFpOIXhmyc,14.6,1024:875,UHD,zDzWkLPRRaF3xtImo22WpulJ6mu5TXRy00U6GW36IpSs,https://stream.mux.com/zDzWkLPRRaF3xtImo22WpulJ6mu5TXRy00U6GW36IpSs.m3u8,https://image.mux.com/zDzWkLPRRaF3xtImo22WpulJ6mu5TXRy00U6GW36IpSs/thumbnail.jpg?time=0,1,releaseNote,lorem-ipsum-dolor-set
5ad0a1d1-fc80-47a6-bbe0-445a0631922c,2026-02-19T15:29:20Z,2026-02-19T15:29:50Z,Z6s02Sy5b4OR7Wk35Zn5yZ7k1TQZKgsuKYGdSLcyQwFM,14.6,1024:875,UHD,WHlAqdgLyWuUktm7MMfpgaczkA6IKPxilplWQxGhedw,https://stream.mux.com/WHlAqdgLyWuUktm7MMfpgaczkA6IKPxilplWQxGhedw.m3u8,https://image.mux.com/WHlAqdgLyWuUktm7MMfpgaczkA6IKPxilplWQxGhedw/thumbnail.jpg?time=0,1,releaseNote,1-19-0-tab-groups-and-proactive-suggestions
879a2e14-b720-4b38-a883-623279ae0948,2026-02-25T17:22:15Z,2026-02-25T17:22:42Z,TysjTG54CKl3k1bjQamCi7sTZp8XHcjg02QmdbUdpxvs,19.25,1024:539,UHD,lTis01XQCSlkSYhPYNXA1qLSaSkfF9BphbBnu00EIaoEE,https://stream.mux.com/lTis01XQCSlkSYhPYNXA1qLSaSkfF9BphbBnu00EIaoEE.m3u8,https://image.mux.com/lTis01XQCSlkSYhPYNXA1qLSaSkfF9BphbBnu00EIaoEE/thumbnail.jpg?time=0,1,releaseNote,1-20-0-little-moments-big-feeling
890471c7-c225-49a0-8293-21d7ef3dc5e1,2026-02-25T17:39:53Z,2026-02-25T17:40:13Z,lmrMi6Gk402V4pgBTIreYV61a02HDpCM00k00pHAYxk1hMA,6.85,1013:1024,UHD,4i1p9DJIPLjZg1Uug7ShlTztR00E2I6VmJdolwr601Tsc,https://stream.mux.com/4i1p9DJIPLjZg1Uug7ShlTztR00E2I6VmJdolwr601Tsc.m3u8,https://image.mux.com/4i1p9DJIPLjZg1Uug7ShlTztR00E2I6VmJdolwr601Tsc/thumbnail.jpg?time=0,1,releaseNote,1-20-0-little-moments-big-feeling
6a3f0d29-75b0-4dd1-a4d9-10bcbed93a75,2026-02-25T18:57:26Z,2026-02-25T18:57:47Z,yIorlVNgPz1ezMvXj26wt49Z01UMzlIyXCXE21yKwtaU,10.133333,64:57,UHD,VFQAXD00cUZQgQbJ9u21djar1f1uma01tNnAjzpseyags,https://stream.mux.com/VFQAXD00cUZQgQbJ9u21djar1f1uma01tNnAjzpseyags.m3u8,https://image.mux.com/VFQAXD00cUZQgQbJ9u21djar1f1uma01tNnAjzpseyags/thumbnail.jpg?time=0,1,releaseNote,1-20-0-little-moments-big-feeling
50e2b527-40b1-409e-aec2-b93b9bca3984,2026-02-25T19:14:27Z,2026-02-25T19:14:48Z,6UC6ZzztMhY4Jq5AcSyluZ9kHnIit4DNQ7bkQynqwbg,8.1,64:57,UHD,K5daRYS7O2VPypbJMq2im12Fbsb00YqJuOZMRqXS8R01w,https://stream.mux.com/K5daRYS7O2VPypbJMq2im12Fbsb00YqJuOZMRqXS8R01w.m3u8,https://image.mux.com/K5daRYS7O2VPypbJMq2im12Fbsb00YqJuOZMRqXS8R01w/thumbnail.jpg?time=0,1,releaseNote,1-20-0-little-moments-big-feeling
43771da9-c72a-4cb0-9fdd-70cfec660028,2026-02-25T20:01:10Z,2026-02-25T21:46:41Z,EIl01jQhlYzvTDCLoqVApyKTFbEzxiBQXmDz8eJolxvw,9.383333,1024:721,UHD,x005pSF3amiUbmfjg4AT5psYB8MfsJNHHoffSkQX2kGU,https://stream.mux.com/x005pSF3amiUbmfjg4AT5psYB8MfsJNHHoffSkQX2kGU.m3u8,https://image.mux.com/x005pSF3amiUbmfjg4AT5psYB8MfsJNHHoffSkQX2kGU/thumbnail.jpg?time=0,0,,
ccaee0fc-105f-4067-921d-6581c12dae1d,2026-02-25T21:47:30Z,2026-02-25T21:47:50Z,DUpfZQAHMItBro3BGOTUq02q701equDCypb8TN9Giy00lw,8.883333,512:325,UHD,hXE9AmEjD5012RyiC4zbGJfMEIQczwMtDtoBLXSEkbOU,https://stream.mux.com/hXE9AmEjD5012RyiC4zbGJfMEIQczwMtDtoBLXSEkbOU.m3u8,https://image.mux.com/hXE9AmEjD5012RyiC4zbGJfMEIQczwMtDtoBLXSEkbOU/thumbnail.jpg?time=0,1,releaseNote,1-20-0-little-moments-big-feeling
3ec8af62-c854-4c5c-8e8e-30b2b86faa3f,2026-03-04T21:44:38Z,2026-03-04T21:45:01Z,z8qSObr02MRkIU1lO0100bpYeG02ahaNJ017S01t52aKjRXVk,9.733333,1024:765,UHD,6HIoUWQjx4c8Jacc001YdenkGbCAwX4UNz01HAuBACJ6Y,https://stream.mux.com/6HIoUWQjx4c8Jacc001YdenkGbCAwX4UNz01HAuBACJ6Y.m3u8,https://image.mux.com/6HIoUWQjx4c8Jacc001YdenkGbCAwX4UNz01HAuBACJ6Y/thumbnail.jpg?time=0,1,releaseNote,1-21-0-before-you-reach-for-it
160f9b90-536f-401b-a050-c3647bb79f34,2026-03-04T21:51:37Z,2026-03-04T21:52:00Z,TxqTsBgaOb02sb6RuXbs8HVUmM1KT8hYqvziZsIrAiFI,7.9,1024:723,UHD,eZk01y1LsWtn3IB401ocf02Ekw635VS6wtlEJ6fWPd6d0100,https://stream.mux.com/eZk01y1LsWtn3IB401ocf02Ekw635VS6wtlEJ6fWPd6d0100.m3u8,https://image.mux.com/eZk01y1LsWtn3IB401ocf02Ekw635VS6wtlEJ6fWPd6d0100/thumbnail.jpg?time=0,1,releaseNote,1-21-0-before-you-reach-for-it
